"Specimen"	"YEAR"	"MONTH"	"DML"	"Testisweight"	"fMONTH"
1017	1991	2	136	0.006	"2"
1034	1990	9	144	0.008	"9"
1070	1990	12	108	0.008	"12"
1070	1990	11	130	0.011	"11"
1019	1990	8	121	0.012	"8"
1002	1990	10	117	0.012	"10"
1001	1991	5	133	0.013	"5"
1013	1990	7	105	0.015	"7"
1002	1990	7	109	0.017	"7"
1006	1990	7	97	0.017	"7"
1020	1990	9	144	0.022	"9"
1002	1991	6	141	0.023	"6"
1039	1990	9	125	0.024	"9"
1038	1990	9	140	0.026	"9"
1012	1989	12	128	0.027	"12"
1037	1990	9	142	0.036	"9"
1001	1991	6	139	0.036	"6"
1027	1990	7	145	0.043	"7"
1003	1990	7	181	0.05	"7"
1026	1990	9	163	0.05	"9"
1015	1991	5	179	0.053	"5"
1050	1990	8	161	0.061	"8"
1029	1990	9	190	0.066	"9"
1012	1990	9	165	0.069	"9"
1014	1991	6	179	0.077	"6"
1009	1991	6	171	0.078	"6"
1007	1990	7	193	0.084	"7"
1030	1991	9	135	0.084	"9"
1006	1991	6	157	0.085	"6"
1007	1991	6	165	0.086	"6"
1007	1991	5	175	0.088	"5"
1055	1991	6	184	0.095	"6"
1001	1991	9	140	0.102	"9"
1010	1991	4	179	0.113	"4"
1017	1991	4	214	0.114	"4"
1019	1991	10	127	0.129	"10"
1020	1990	8	169	0.13	"8"
1156	1990	7	155	0.136	"7"
1112	1990	7	164	0.14	"7"
1013	1991	1	203	0.152	"1"
1010	1991	6	176	0.154	"6"
1015	1991	6	204	0.156	"6"
1041	1991	9	148	0.16	"9"
1019	1990	9	190	0.161	"9"
1052	1990	7	208	0.165	"7"
1031	1990	7	195	0.166	"7"
1028	1990	7	195	0.174	"7"
1028	1990	7	147	0.181	"7"
1016	1991	6	202	0.187	"6"
1017	1991	6	191	0.195	"6"
1008	1990	8	218	0.206	"8"
1028	1990	9	189	0.21	"9"
1014	1990	11	159	0.21	"11"
1005	1991	6	153	0.21	"6"
1011	1991	6	182	0.214	"6"
1018	1990	8	250	0.221	"8"
1015	1990	8	185	0.224	"8"
1022	1991	6	209	0.225	"6"
1050	1990	7	226	0.226	"7"
1015	1990	10	174	0.227	"10"
1013	1991	6	175	0.237	"6"
1024	1991	6	212	0.243	"6"
1023	1991	10	165	0.246	"10"
1019	1991	10	194	0.248	"10"
1125	1990	7	208	0.249	"7"
1042	1990	7	248	0.254	"7"
1058	1990	8	238	0.255	"8"
1021	1991	6	204	0.256	"6"
1117	1990	7	241	0.27	"7"
1026	1991	6	229	0.281	"6"
1047	1990	8	235	0.283	"8"
1009	1990	8	244	0.285	"8"
1158	1990	7	205	0.286	"7"
1005	1990	8	246	0.288	"8"
1057	1991	6	201	0.29	"6"
1007	1990	9	165	0.297	"9"
1046	1990	8	195	0.298	"8"
1029	1991	10	136	0.301	"10"
1009	1990	9	173	0.302	"9"
1051	1990	7	225	0.309	"7"
1029	1991	6	234	0.31	"6"
1001	1990	10	231	0.315	"10"
1008	1991	10	134	0.315	"10"
1034	1990	8	246	0.33	"8"
1021	1990	9	180	0.33	"9"
1048	1990	7	214	0.337	"7"
1010	1990	8	199	0.344	"8"
1004	1990	8	219	0.37	"8"
1046	1990	7	247	0.373	"7"
1007	1990	9	165	0.379	"9"
1026	1991	10	170	0.379	"10"
1016	1991	10	188	0.379	"10"
1049	1990	8	217	0.385	"8"
1020	1991	10	187	0.385	"10"
1052	1990	9	225	0.388	"9"
1010	1991	10	191	0.395	"10"
1049	1990	7	211	0.412	"7"
1023	1991	10	170	0.414	"10"
1033	1990	8	251	0.418	"8"
1073	1990	11	190	0.426	"11"
1046	1991	9	200	0.426	"9"
1081	1990	7	226	0.43	"7"
1005	1990	9	196	0.43	"9"
1029	1991	10	267	0.434	"10"
1050	1991	9	207	0.442	"9"
1038	1990	8	270	0.443	"8"
1052	1991	9	210	0.444	"9"
1060	1990	8	249	0.445	"8"
1017	1990	7	232	0.453	"7"
1025	1990	8	252	0.455	"8"
1032	1991	6	242	0.467	"6"
1010	1990	8	258	0.472	"8"
1003	1990	9	185	0.482	"9"
1114	1990	7	146	0.497	"7"
1012	1990	10	160	0.501	"10"
1035	1990	8	265	0.503	"8"
1055	1990	9	250	0.508	"9"
1021	1991	10	247	0.514	"10"
1049	1991	9	225	0.517	"9"
1008	1991	7	246	0.525	"7"
1021	1991	10	163	0.531	"10"
1015	1990	12	151	0.533	"12"
1013	1991	10	107	0.538	"10"
1035	1990	7	151	0.551	"7"
1044	1990	8	253	0.556	"8"
1057	1990	8	230	0.558	"8"
1019	1990	10	185	0.566	"10"
1012	1991	10	229	0.566	"10"
1009	1990	8	257	0.586	"8"
1002	1990	8	250	0.594	"8"
1022	1990	8	212	0.603	"8"
1033	1991	6	262	0.603	"6"
1054	1990	8	240	0.606	"8"
1001	1991	10	167	0.611	"10"
1029	1990	7	152	0.618	"7"
1028	1990	8	266	0.627	"8"
1021	1990	8	266	0.632	"8"
1005	1990	8	258	0.634	"8"
1032	1990	8	261	0.638	"8"
